id ,order_id,buy_timestamp,buy_price,buy_amount,buy_cost,buy_fees,closed,sell_timestamp,sell_price,sell_amount,sell_cost,sell_fees,position
47,OL6JBT-WMYLD-CMQMEM,2023-10-09T13:08:14,26114.2,0.00011488,2.999999296,0.0042,False,,,,,,1
48,OXFYKX-VZPDQ-Z6BI2Y,2023-10-09T13:09:15,26116.7,0.00011488,3.000286496,0.0042,False,,,,,,1
49,OLN2MR-DDYOO-JD75Z2,2023-10-09T13:10:15,26114.7,0.00011485,2.999273295,0.0042,False,,,,,,1
50,OKKHJ5-P3PGU-B33CW5,2023-10-09T13:14:15,26115.8,0.00011487,2.999921946,0.0042,False,,,,,,1
51,ODALWS-QD3MG-QNQV26,2023-10-09T13:15:15,26104.1,0.00011489,2.999100049,0.0042,False,,,,,,1
52,OXOWY3-EEXWZ-EI47AC,2023-10-09T13:16:14,26095.0,0.00011496,2.9998812,0.0042,False,,,,,,1
53,OUIDKZ-ZHYRI-QO352H,2023-10-09T13:17:15,26096.0,0.00011497,3.00025712,0.0042,False,,,,,,1
54,O5PAPT-Y4PCR-SJPEQH,2023-10-09T13:18:15,26093.2,0.00011497,2.999935204,0.0042,False,,,,,,1
55,OBESLI-TMCHM-DOVRNP,2023-10-09T13:19:14,26075.7,0.00011505,3.000009285,0.0042,False,,,,,,1
56,OI454E-6DYII-FKWIRY,2023-10-09T13:20:15,26098.2,0.00011496,3.000249072,0.0042,False,,,,,,1
57,OL7TCL-TBB2Z-C7MDSA,2023-10-09T13:22:14,26096.0,0.00011496,2.99999616,0.0042,False,,,,,,1
58,OYDRHG-35WKG-FLX6FU,2023-10-09T13:23:15,26090.1,0.00011498,2.999839698,0.0042,False,,,,,,1
68,O26BQL-RLLEY-EAJ6SI,2023-10-09T13:54:15,26086.6,0.000115,2.999959,0.0042,False,,,,,,1
69,OL3ZPM-VULRK-XYCYAQ,2023-10-09T13:56:15,26065.8,0.00011505,2.99887029,0.0042,False,,,,,,1
70,OEFBVH-2UUST-VHGO3M,2023-10-09T14:00:15,26081.0,0.00011501,2.99957581,0.0042,False,,,,,,1
71,OQANN4-T3ETQ-IRIHIG,2023-10-09T14:01:15,26066.1,0.00011508,2.999686788,0.0042,False,,,,,,1
72,OD437O-5FMUG-BJWYAP,2023-10-09T14:02:15,26090.7,0.00011499,3.000169593,0.0042,False,,,,,,1
73,OOAGRO-SUL4L-3ROKJZ,2023-10-09T14:03:14,26083.0,0.00011503,3.00032749,0.0042,False,,,,,,1
74,ODIZJS-TWYYN-FE53XD,2023-10-09T14:04:14,26072.6,0.00011506,2.999913356,0.0042,False,,,,,,1
